elapsed_sec,version,fps,frame_time_ms,cpu_time_ms,gpu_time_ms,avg_fps,min_fps,max_fps,std_dev_fps,avg_cpu_time_ms,avg_gpu_time_ms
0.219,baseline,5.63,177.51,84.01,0.00,5.63,5.63,5.63,0.00,84.01,0.00
0.272,baseline,10.42,95.94,41.20,46.48,7.31,5.63,10.42,40.78,62.60,46.48
0.313,baseline,23.92,41.81,40.43,38.95,9.52,5.63,23.92,55.78,55.21,42.72
0.354,baseline,24.34,41.08,40.31,38.30,11.23,5.63,24.34,55.69,51.49,41.25
0.394,baseline,24.61,40.64,40.11,37.99,12.60,5.63,24.61,53.45,49.21,40.43
0.433,baseline,24.85,40.24,39.15,39.12,13.72,5.63,24.85,50.92,47.53,40.17
0.474,baseline,25.29,39.55,40.02,37.89,14.68,5.63,25.29,48.57,46.46,39.79
0.513,baseline,24.94,40.10,38.90,38.34,15.48,5.63,25.29,46.37,45.52,39.58
0.552,baseline,25.44,39.31,38.90,37.90,16.18,5.63,25.44,44.43,44.78,39.37
0.590,baseline,25.57,39.11,37.85,37.96,16.80,5.63,25.57,42.70,44.09,39.22
0.628,baseline,26.11,38.31,37.72,36.78,17.36,5.63,26.11,41.16,43.51,38.97
0.666,baseline,26.45,37.80,37.86,36.78,17.87,5.63,26.45,39.79,43.04,38.77
0.706,baseline,26.13,38.27,39.11,36.85,18.32,5.63,26.45,38.52,42.74,38.61
0.745,baseline,25.04,39.93,38.03,37.18,18.68,5.63,26.45,37.31,42.40,38.50
0.783,baseline,26.22,38.14,37.89,36.90,19.04,5.63,26.45,36.25,42.10,38.39
0.821,baseline,26.06,38.37,37.80,36.91,19.37,5.63,26.45,35.26,41.83,38.29
0.859,baseline,26.41,37.87,37.91,37.00,19.68,5.63,26.45,34.36,41.60,38.21
0.897,baseline,26.08,38.34,37.82,36.76,19.95,5.63,26.45,33.52,41.39,38.12
0.935,baseline,26.38,37.91,37.83,36.89,20.21,5.63,26.45,32.74,41.20,38.05
0.974,baseline,26.07,38.36,38.02,36.69,20.44,5.63,26.45,32.00,41.04,37.98
1.012,baseline,26.22,38.13,38.13,36.77,20.65,5.63,26.45,31.31,40.91,37.92
1.050,baseline,25.82,38.73,37.88,36.81,20.84,5.63,26.45,30.66,40.77,37.87
1.088,baseline,26.32,37.99,37.93,36.81,21.03,5.63,26.45,30.06,40.64,37.82
1.127,baseline,25.96,38.51,38.06,36.90,21.20,5.63,26.45,29.48,40.54,37.78
1.165,baseline,26.20,38.17,38.13,36.80,21.37,5.63,26.45,28.94,40.44,37.74
1.205,baseline,25.74,38.85,39.08,36.72,21.51,5.63,26.45,28.42,40.39,37.70
1.243,baseline,25.51,39.21,37.92,37.16,21.63,5.63,26.45,27.92,40.30,37.68
1.282,baseline,25.95,38.54,37.94,36.85,21.76,5.63,26.45,27.45,40.21,37.65
1.320,baseline,26.30,38.02,37.84,36.81,21.89,5.63,26.45,27.01,40.13,37.62
1.358,baseline,26.06,38.37,37.88,36.81,22.01,5.63,26.45,26.59,40.06,37.59
1.397,baseline,26.35,37.96,39.01,36.82,22.13,5.63,26.45,26.19,40.02,37.56
1.436,baseline,25.22,39.64,37.94,37.42,22.21,5.63,26.45,25.80,39.96,37.56
1.474,baseline,26.30,38.02,38.00,36.68,22.32,5.63,26.45,25.43,39.90,37.53
1.513,baseline,25.84,38.70,38.01,36.79,22.41,5.63,26.45,25.08,39.84,37.51
1.551,baseline,26.22,38.14,37.99,36.70,22.50,5.63,26.45,24.74,39.79,37.49
1.589,baseline,25.85,38.68,37.97,36.67,22.58,5.63,26.45,24.41,39.74,37.46
1.628,baseline,26.27,38.07,38.09,36.70,22.67,5.63,26.45,24.10,39.69,37.44
1.666,baseline,25.79,38.78,38.03,36.72,22.74,5.63,26.45,23.80,39.65,37.42
1.704,baseline,26.22,38.13,37.96,36.79,22.82,5.63,26.45,23.51,39.61,37.41
1.743,baseline,25.94,38.54,37.75,36.85,22.89,5.63,26.45,23.23,39.56,37.39
1.780,baseline,26.43,37.84,37.68,36.72,22.96,5.63,26.45,22.96,39.51,37.37
1.819,baseline,26.26,38.08,37.75,36.69,23.03,5.63,26.45,22.70,39.47,37.36
1.856,baseline,26.43,37.83,37.82,36.83,23.10,5.63,26.45,22.45,39.43,37.34
1.895,baseline,26.15,38.24,37.94,36.71,23.16,5.63,26.45,22.21,39.40,37.33
1.933,baseline,26.30,38.03,38.16,36.70,23.22,5.63,26.45,21.97,39.37,37.32
1.973,baseline,25.57,39.12,39.24,36.76,23.27,5.63,26.45,21.74,39.37,37.30
2.011,baseline,25.41,39.35,38.00,36.92,23.31,5.63,26.45,21.51,39.34,37.29
2.050,baseline,25.85,38.69,38.13,36.79,23.36,5.63,26.45,21.30,39.32,37.28
2.088,baseline,26.15,38.24,38.02,36.74,23.41,5.63,26.45,21.09,39.29,37.27
2.127,baseline,25.83,38.72,38.02,36.91,23.45,5.63,26.45,20.88,39.26,37.27
2.165,baseline,26.23,38.12,37.97,36.82,23.50,5.63,26.45,20.69,39.24,37.26
2.204,baseline,25.88,38.64,37.91,36.73,23.54,5.63,26.45,20.49,39.21,37.25
2.242,baseline,26.33,37.98,37.84,36.95,23.59,5.63,26.45,20.31,39.19,37.24
2.280,baseline,26.11,38.30,37.82,36.72,23.63,5.63,26.45,20.13,39.16,37.23
2.318,baseline,26.36,37.94,37.91,36.69,23.68,5.63,26.45,19.95,39.14,37.22
2.356,baseline,25.92,38.58,37.91,36.80,23.71,5.63,26.45,19.78,39.12,37.21
2.394,baseline,26.32,37.99,37.78,36.79,23.76,5.63,26.45,19.61,39.09,37.21
2.433,baseline,26.15,38.24,37.89,36.89,23.79,5.63,26.45,19.45,39.07,37.20
2.472,baseline,26.34,37.97,39.24,36.79,23.83,5.63,26.45,19.29,39.08,37.19
2.511,baseline,24.97,40.05,38.00,37.05,23.85,5.63,26.45,19.13,39.06,37.19
2.549,baseline,26.25,38.10,37.97,36.71,25.25,10.42,26.45,7.38,38.29,37.18
2.588,baseline,25.87,38.66,38.15,36.79,25.87,23.92,26.45,0.84,38.24,37.02
2.626,baseline,26.14,38.26,38.00,36.78,25.91,24.34,26.45,0.74,38.20,36.98
2.665,baseline,25.87,38.66,38.10,36.99,25.94,24.61,26.45,0.66,38.16,36.96
2.704,baseline,26.18,38.20,39.06,36.95,25.97,24.85,26.45,0.60,38.14,36.95
2.743,baseline,25.16,39.75,39.02,37.13,25.97,24.94,26.45,0.58,38.14,36.91
2.783,baseline,25.58,39.10,39.19,37.29,25.98,24.94,26.45,0.57,38.13,36.90
2.821,baseline,25.12,39.82,37.88,37.08,25.98,24.97,26.45,0.56,38.11,36.88
2.860,baseline,26.35,37.95,38.84,36.66,26.00,24.97,26.45,0.55,38.11,36.86
2.898,baseline,25.49,39.23,37.74,36.99,25.99,24.97,26.45,0.56,38.11,36.84
2.936,baseline,26.46,37.80,37.82,36.77,26.00,24.97,26.46,0.56,38.11,36.84
2.976,baseline,26.11,38.31,39.40,36.88,25.99,24.97,26.46,0.56,38.14,36.85
3.015,baseline,25.30,39.53,38.64,37.03,25.98,24.97,26.46,0.57,38.13,36.85
3.055,baseline,25.55,39.13,39.45,36.99,25.99,24.97,26.46,0.55,38.15,36.85
3.094,baseline,25.26,39.58,39.11,37.26,25.97,24.97,26.46,0.56,38.17,36.85
3.134,baseline,25.12,39.81,39.04,37.25,25.96,24.97,26.46,0.59,38.19,36.86
3.173,baseline,25.55,39.14,39.21,37.10,25.94,24.97,26.46,0.59,38.21,36.86
3.213,baseline,25.04,39.93,39.17,37.15,25.93,24.97,26.46,0.61,38.24,36.87
3.252,baseline,25.45,39.30,39.11,37.20,25.91,24.97,26.46,0.61,38.26,36.87
3.292,baseline,25.09,39.85,39.25,37.18,25.89,24.97,26.46,0.63,38.28,36.88
3.331,baseline,25.39,39.39,39.17,37.51,25.88,24.97,26.46,0.64,38.30,36.89
3.371,baseline,25.09,39.86,39.22,37.70,25.87,24.97,26.46,0.66,38.32,36.91
3.411,baseline,25.43,39.32,39.06,37.80,25.85,24.97,26.46,0.66,38.34,36.92
3.450,baseline,25.26,39.58,39.00,37.89,25.84,24.97,26.46,0.67,38.35,36.94
3.489,baseline,25.59,39.08,39.13,37.61,25.83,24.97,26.46,0.66,38.37,36.95
3.529,baseline,25.18,39.72,39.48,37.66,25.82,24.97,26.46,0.68,38.38,36.97
3.569,baseline,25.25,39.61,39.51,37.70,25.82,24.97,26.46,0.68,38.40,36.98
3.609,baseline,24.80,40.32,39.18,37.75,25.80,24.80,26.46,0.71,38.42,36.99
3.648,baseline,25.46,39.28,39.27,37.78,25.78,24.80,26.46,0.71,38.45,37.01
3.688,baseline,25.01,39.99,39.16,37.81,25.76,24.80,26.46,0.72,38.47,37.03
3.727,baseline,25.48,39.25,39.12,37.61,25.75,24.80,26.46,0.72,38.47,37.04
3.768,baseline,25.11,39.83,40.33,38.08,25.75,24.80,26.46,0.72,38.51,37.05
3.807,baseline,24.69,40.51,37.93,38.05,25.72,24.69,26.46,0.74,38.51,37.07
3.846,baseline,25.96,38.52,39.01,36.90,25.72,24.69,26.46,0.74,38.53,37.07
3.885,baseline,25.59,39.08,39.00,37.17,25.71,24.69,26.46,0.74,38.54,37.08
3.925,baseline,25.27,39.57,38.94,37.08,25.70,24.69,26.46,0.74,38.56,37.09
3.964,baseline,25.63,39.02,39.09,37.43,25.69,24.69,26.46,0.73,38.58,37.10
4.004,baseline,25.05,39.92,39.18,37.42,25.68,24.69,26.46,0.74,38.59,37.11
4.043,baseline,25.46,39.28,39.08,37.52,25.67,24.69,26.46,0.74,38.61,37.12
4.083,baseline,25.15,39.76,39.13,37.77,25.65,24.69,26.46,0.74,38.64,37.14
4.122,baseline,25.47,39.26,39.14,37.62,25.64,24.69,26.46,0.73,38.66,37.16
4.162,baseline,25.11,39.83,39.33,37.68,25.62,24.69,26.46,0.73,38.69,37.17
4.202,baseline,25.37,39.42,39.66,37.93,25.60,24.69,26.46,0.71,38.72,37.19
4.243,baseline,24.90,40.15,40.93,37.86,25.58,24.69,26.46,0.72,38.77,37.21
4.283,baseline,24.36,41.05,39.51,38.32,25.55,24.36,26.46,0.75,38.79,37.24
4.323,baseline,25.00,40.00,39.33,38.15,25.54,24.36,26.46,0.75,38.79,37.26
4.362,baseline,25.36,39.44,39.36,37.76,25.54,24.36,26.46,0.75,38.81,37.27
4.403,baseline,24.89,40.17,39.47,38.17,25.52,24.36,26.46,0.76,38.84,37.30
4.443,baseline,25.28,39.56,40.67,38.38,25.51,24.36,26.46,0.75,38.88,37.32
4.483,baseline,24.30,41.15,39.61,38.25,25.48,24.30,26.46,0.79,38.91,37.35
4.523,baseline,25.16,39.74,39.62,38.26,25.46,24.30,26.46,0.78,38.93,37.37
4.564,baseline,24.93,40.12,40.61,37.93,25.45,24.30,26.46,0.78,38.98,37.39
4.604,baseline,24.57,40.71,39.30,38.49,25.42,24.30,26.46,0.78,39.00,37.42
4.645,baseline,24.99,40.01,41.01,38.22,25.40,24.30,26.46,0.78,39.06,37.44
4.685,baseline,24.31,41.13,39.55,38.45,25.36,24.30,26.46,0.79,39.08,37.47
4.727,baseline,24.42,40.94,40.73,38.25,25.34,24.30,26.46,0.80,39.13,37.49
4.768,baseline,24.48,40.84,40.73,38.61,25.31,24.30,26.46,0.80,39.18,37.53
