elapsed_sec,version,fps,frame_time_ms,cpu_time_ms,gpu_time_ms,avg_fps,min_fps,max_fps,std_dev_fps,avg_cpu_time_ms,avg_gpu_time_ms
0.122,max_step_200,13.13,76.17,47.11,0.00,13.13,13.13,13.13,0.00,47.11,0.00
0.143,max_step_200,20.42,48.97,18.63,22.79,15.98,13.13,20.42,13.60,32.87,22.79
0.168,max_step_200,53.33,18.75,25.17,16.49,20.85,13.13,53.33,23.45,30.30,19.64
0.187,max_step_200,39.58,25.26,19.04,23.13,23.65,13.13,53.33,22.57,27.49,20.80
0.211,max_step_200,46.19,21.65,21.82,16.62,26.20,13.13,53.33,21.81,26.35,19.76
0.241,max_step_200,45.47,21.99,29.48,19.28,28.20,13.13,53.33,20.80,26.87,19.66
0.267,max_step_200,33.69,29.69,25.69,22.95,28.87,13.13,53.33,19.36,26.71,20.21
0.295,max_step_200,37.56,26.62,26.73,20.41,29.73,13.13,53.33,18.30,26.71,20.24
0.312,max_step_200,37.23,26.86,17.50,25.17,30.41,13.13,53.33,17.39,25.69,20.86
0.335,max_step_200,56.27,17.77,22.03,15.95,31.87,13.13,56.27,17.11,25.32,20.31
0.690,max_step_200,32.66,30.62,346.71,20.67,31.94,13.13,56.27,16.31,54.54,20.35
0.717,max_step_200,2.86,349.41,24.47,18.75,17.30,2.86,56.27,89.30,52.03,20.20
0.744,max_step_200,31.12,32.13,19.03,20.53,17.91,2.86,56.27,86.06,49.49,20.23
0.766,max_step_200,47.48,21.06,19.90,17.41,18.74,2.86,56.27,83.42,47.38,20.01
0.786,max_step_200,49.97,20.01,20.49,16.73,19.56,2.86,56.27,81.02,45.59,19.78
0.805,max_step_200,46.64,21.44,18.19,16.65,20.29,2.86,56.27,78.77,43.87,19.57
0.898,max_step_200,54.08,18.49,92.66,15.80,21.07,2.86,56.27,76.76,46.74,19.33
0.927,max_step_200,10.77,92.85,28.39,20.95,20.01,2.86,56.27,75.32,45.72,19.43
0.958,max_step_200,33.97,29.44,29.80,25.97,20.45,2.86,56.27,73.46,44.89,19.79
0.985,max_step_200,33.25,30.07,27.12,28.06,20.85,2.86,56.27,71.71,44.00,20.23
1.010,max_step_200,35.44,28.22,24.19,23.83,21.27,2.86,56.27,70.11,43.05,20.41
1.040,max_step_200,41.04,24.37,28.89,22.05,21.74,2.86,56.27,68.66,42.41,20.48
1.064,max_step_200,33.54,29.81,23.09,26.50,22.08,2.86,56.27,67.23,41.57,20.76
1.095,max_step_200,42.95,23.28,30.82,20.87,22.54,2.86,56.27,65.96,41.12,20.76
1.123,max_step_200,31.92,31.33,28.35,28.61,22.80,2.86,56.27,64.68,40.61,21.09
1.148,max_step_200,35.13,28.47,24.06,26.34,23.12,2.86,56.27,63.49,39.98,21.30
1.174,max_step_200,40.65,24.60,26.05,21.37,23.49,2.86,56.27,62.41,39.46,21.30
1.195,max_step_200,38.19,26.18,20.24,21.05,23.82,2.86,56.27,61.36,38.77,21.29
1.216,max_step_200,48.56,20.59,21.25,18.66,24.24,2.86,56.27,60.42,38.17,21.20
1.237,max_step_200,46.74,21.39,21.18,19.59,24.64,2.86,56.27,59.51,37.60,21.14
1.258,max_step_200,46.64,21.44,19.79,18.60,25.02,2.86,56.27,58.64,37.03,21.06
1.277,max_step_200,50.37,19.85,19.65,18.90,25.42,2.86,56.27,57.82,36.48,20.99
1.298,max_step_200,50.37,19.85,20.71,18.73,25.81,2.86,56.27,57.04,36.01,20.92
1.319,max_step_200,48.18,20.75,20.81,19.50,26.17,2.86,56.27,56.27,35.56,20.88
1.339,max_step_200,47.46,21.07,19.58,18.45,26.51,2.86,56.27,55.54,35.10,20.80
1.359,max_step_200,51.01,19.60,19.76,18.70,26.86,2.86,56.27,54.84,34.68,20.74
1.379,max_step_200,49.97,20.01,19.94,18.76,27.20,2.86,56.27,54.17,34.28,20.69
1.412,max_step_200,29.30,34.14,19.00,16.66,27.25,2.86,56.27,53.45,33.88,20.58
1.429,max_step_200,52.05,19.21,16.36,17.08,27.59,2.86,56.27,52.83,33.43,20.49
1.448,max_step_200,59.62,16.77,18.59,15.49,27.97,2.86,59.62,52.26,33.06,20.36
1.466,max_step_200,50.63,19.75,17.31,15.72,28.28,2.86,59.62,51.68,32.67,20.24
1.484,max_step_200,56.55,17.68,17.37,16.10,28.62,2.86,59.62,51.13,32.31,20.14
1.502,max_step_200,56.45,17.71,17.39,16.15,28.95,2.86,59.62,50.60,31.96,20.05
1.519,max_step_200,57.08,17.52,17.35,16.18,29.28,2.86,59.62,50.08,31.63,19.96
1.536,max_step_200,57.51,17.39,17.36,16.17,29.60,2.86,59.62,49.58,31.31,19.87
1.554,max_step_200,57.07,17.52,17.30,16.18,29.91,2.86,59.62,49.10,31.01,19.79
